action,source,destination,reason,kept_instead
COPIED,9a Duplicates/FLV/$ tells blonde joke.flv,$ tells blonde joke.flv,,
COPIED,9a Duplicates/FLV/1 Blanket TMAJ intro.flv,1 Blanket TMAJ intro.flv,,
COPIED,1k Clips/1 Clip7.mp4,1 Clip7.mp4,,
COPIED,8 Misc/1 TonyBackGround (1).wmv,1 TonyBackGround (1).wmv,,
COPIED,8 Misc/1 TonyBackGround (2).wmv,1 TonyBackGround (2).wmv,,
COPIED,8 Misc/1 TonyBackGround (3).wmv,1 TonyBackGround (3).wmv,,
COPIED,8 Misc/1 TonyBackGround (4).wmv,1 TonyBackGround (4).wmv,,
COPIED,8 Misc/1 TonyBackGround (5).wmv,1 TonyBackGround (5).wmv,,
COPIED,8 Misc/1 TonyBackGround (6).wmv,1 TonyBackGround (6).wmv,,
COPIED,8 Misc/Miracles/15 days to flatten the curve ;).mp4,15 days to flatten the curve ;).mp4,,
COPIED,1f NG/15 year old girl copy.mov,15 year old girl copy.mov,,
COPIED,1k Clips/1FrankIntro.mp4,1FrankIntro.mp4,,
COPIED,1k Clips/1IntroAngelo.mp4,1IntroAngelo.mp4,,
COPIED,1k Clips/1IntroErica.mp4,1IntroErica.mp4,,
COPIED,1k Clips/1JayEdIntro.mp4,1JayEdIntro.mp4,,
COPIED,1i Fails/2 black eyes copy.mov,2 black eyes copy.mov,,
COPIED,9a Duplicates/FLV/2 black eyes copy-2.flv,2 black eyes copy-2.flv,,
COPIED,1k Clips/2 Clip1.mp4,2 Clip1.mp4,,
COPIED,1k Clips/2 Clip10.mp4,2 Clip10.mp4,,
COPIED,1k Clips/2 Clip2.mp4,2 Clip2.mp4,,
COPIED,1k Clips/2 Clip3.mp4,2 Clip3.mp4,,
COPIED,1k Clips/2 Clip4.mp4,2 Clip4.mp4,,
COPIED,1k Clips/2 Clip5.mp4,2 Clip5.mp4,,
COPIED,1k Clips/2 Clip6.mp4,2 Clip6.mp4,,
COPIED,1k Clips/2 Clip8.mp4,2 Clip8.mp4,,
COPIED,1k Clips/2 Clip9.mp4,2 Clip9.mp4,,
COPIED,1f NG/2 girls screw up badly copy.mov,2 girls screw up badly copy.mov,,
COPIED,9a Duplicates/2 peanuts again copy.mp4,2 peanuts again copy.mp4,,
COPIED,1i Fails/23 year olds copy.mp4,23 year olds copy.mp4,,
COPIED,1e Edit/3 girls in a car copy.mov,3 girls in a car copy.mov,,
COPIED,1d Too Dirty/5 cocks copy.mov,5 cocks copy.mov,,
COPIED,1i Fails/a 2 copy.mov,a 2 copy.mov,,
COPIED,1f NG/a guy tells a joke in spanish   _#7C4B.mov,a guy tells a joke in spanish   _#7C4B.mov,,
COPIED,9a Duplicates/FLV/a slted nut copy.flv,a slted nut copy.flv,,
COPIED,1c Not Funny Enough/aa copy.mov,aa copy.mov,,
COPIED,1c Not Funny Enough/aaron copy.mov,aaron copy.mov,,
COPIED,1j Too Ethnic/Aaron tells an ethnic jokeR.wmv,Aaron tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/FLV/Aaron tells an ethnic jokeR-1.flv,Aaron tells an ethnic jokeR-1.flv,,
COPIED,9a Duplicates/Accent guy tells a statue jokePG.mp4,Accent guy tells a statue jokePG.mp4,,
COPIED,1g Kids/ad copy.mp4,ad copy.mp4,,
COPIED,9a Duplicates/FLV/adam copy.flv,adam copy.flv,,
COPIED,9a Duplicates/MP4 bad audio/Adam tells a religious jokeR.mp4,Adam tells a religious jokeR.mp4,,
COPIED,9a Duplicates/FLV/Adam tells a religious jokeR-1.flv,Adam tells a religious jokeR-1.flv,,
COPIED,1j Too Ethnic/Removed from Live/Adam tells ethnic joke.mov,Adam tells ethnic joke.mov,,
COPIED,9a Duplicates/FLV/Adam tells ethnic joke 3.flv,Adam tells ethnic joke 3.flv,,
COPIED,9a Duplicates/FLV/add joke copy.flv,add joke copy.flv,,
COPIED,9a Duplicates/FLV/Adrian tells knock knock joke.flv,Adrian tells knock knock joke.flv,,
COPIED,9a Duplicates/FLV/Adrianne tells a chicken joke.flv,Adrianne tells a chicken joke.flv,,
COPIED,1i Fails/agnes copy.mov,agnes copy.mov,,
COPIED,1d Too Dirty/aids joke copy.mov,aids joke copy.mov,,
COPIED,9a Duplicates/FLV/Airiella phillips with a blonde joke 2.flv,Airiella phillips with a blonde joke 2.flv,,
COPIED,1j Too Ethnic/Removed from Live/Airmen bill emetts tells lesbian joke.mov,Airmen bill emetts tells lesbian joke.mov,,
COPIED,1d Too Dirty/aj.mp4,aj.mp4,,
COPIED,1j Too Ethnic/Removed from Live/aj jablonski.mp4,aj jablonski.mp4,,
COPIED,9a Duplicates/MP4 bad audio/ajar door.mp4,ajar door.mp4,,
COPIED,9a Duplicates/FLV/al copy.flv,al copy.flv,,
COPIED,1b Long Jokes/Al gets way too close while telling long joke.mp4,Al gets way too close while telling long joke.mp4,,
COPIED,9a Duplicates/FLV/Al tells big toe joke.flv,Al tells big toe joke.flv,,
COPIED,9a Duplicates/FLV/alan cohen copy.flv,alan cohen copy.flv,,
COPIED,9a Duplicates/FLV/alana 2 copy-1.flv,alana 2 copy-1.flv,,
COPIED,9a Duplicates/FLV/alana copy-1.flv,alana copy-1.flv,,
COPIED,9a Duplicates/MP4 bad audio/Alanna tells a vibrator joke.mp4,Alanna tells a vibrator joke.mp4,,
COPIED,1c Not Funny Enough/Albert tells a veggie joke.mp4,Albert tells a veggie joke.mp4,,
COPIED,9a Duplicates/MP4 bad audio/alecia.mp4,alecia.mp4,,
COPIED,9a Duplicates/FLV/Alecia Jr tells Hooters joke.flv,Alecia Jr tells Hooters joke.flv,,
COPIED,9a Duplicates/FLV/Alecia Jr tells IHOP joke.flv,Alecia Jr tells IHOP joke.flv,,
COPIED,9a Duplicates/FLV/Alecia tells santa joke.flv,Alecia tells santa joke.flv,,
COPIED,1j Too Ethnic/Removed from Live/Alegra tell ethnic joke 4.mov,Alegra tell ethnic joke 4.mov,,
COPIED,9a Duplicates/MP4 bad audio/alex 50 cent.mp4,alex 50 cent.mp4,,
COPIED,1j Too Ethnic/alex copy.mov,alex copy.mov,,
COPIED,1d Too Dirty/Alex tells a mafia jokeR.wmv,Alex tells a mafia jokeR.wmv,,
COPIED,9a Duplicates/MP4 bad audio/Alex tells a manly jokeR.mp4,Alex tells a manly jokeR.mp4,,
COPIED,9a Duplicates/FLV/Alex tells a manly jokeR-1.flv,Alex tells a manly jokeR-1.flv,,
COPIED,9a Duplicates/MP4 bad audio/Alex tells a sex jokeR.mp4,Alex tells a sex jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Alex tells a tigger jokePG.mp4,Alex tells a tigger jokePG.mp4,,
COPIED,9a Duplicates/FLV/Alex tells a tigger jokePG-1.flv,Alex tells a tigger jokePG-1.flv,,
COPIED,1j Too Ethnic/Alex tells an ethnic jokeR.wmv,Alex tells an ethnic jokeR.wmv,,
COPIED,9a Duplicates/FLV/Alex tells an ethnic jokeR-1.flv,Alex tells an ethnic jokeR-1.flv,,
COPIED,1j Too Ethnic/Alex tells an ethnic jokeX.wmv,Alex tells an ethnic jokeX.wmv,,
COPIED,9a Duplicates/FLV/Alex tells an health insurance joke.flv,Alex tells an health insurance joke.flv,,
COPIED,9a Duplicates/FLV/Alex tells an health insurance joke LONG.mp4,Alex tells an health insurance joke LONG.mp4,,
